"Time / ps","DonorIdx","AccptIdx","PHT / eV"
2600.0,39,106,0.29830356207917635
2600.0,39,40,0.015063539367090359
2650.0,39,106,0.2050280373495574
2650.0,39,40,0.028532148722132857
2700.0,39,106,0.16385081088962497
2700.0,39,40,-0.018229730546978993
2750.0,39,106,-0.12166546822238021
2750.0,39,40,0.025884029791536558
2800.0,39,106,-0.15204164472268036
2800.0,39,40,-0.022769677914246583
2850.0,39,106,-0.16524729418886333
2850.0,39,40,0.0151040771739391
2900.0,39,106,0.20702998575052112
2900.0,39,40,0.012653169806602553
2950.0,39,106,0.14093738676365494
2950.0,39,40,-0.04118174108852608
3000.0,39,106,-0.15543713276189122
3000.0,39,40,-0.008939900664240396
3050.0,39,106,-0.17155946279523993
3050.0,39,40,-0.0374943330853429
3100.0,39,106,0.1968716068869355
3100.0,39,40,-0.014898058180110777
3150.0,39,106,0.1969634402031381
3150.0,39,40,0.004636711443211623
3200.0,39,106,0.17452226019918296
3200.0,39,40,-0.0031018116609589285
3250.0,39,106,0.09797818971744016
3250.0,39,40,0.006211825119768092
3300.0,39,106,-0.2319950036467503
3300.0,39,40,-0.027864970530947893
3350.0,39,106,-0.16909282390370897
3350.0,39,40,-0.021065470670138864
3400.0,39,106,0.20827379206951677
3400.0,39,40,0.044281337657993504
3450.0,39,106,0.1952775509041861
3450.0,39,40,-0.01316825656866311
3500.0,39,106,-0.163422354300542
3500.0,39,40,-0.01690139543588891
3550.0,39,106,-0.12295486722315664
3550.0,39,40,0.008289057620822687
3600.0,39,106,-0.14627787372749237
3600.0,39,40,0.050552750108322296
3650.0,39,106,0.07260750092758603
3650.0,39,40,-0.051525808873540475
3700.0,39,106,0.14385677672175246
3700.0,39,40,0.037239666443565
3750.0,39,106,0.14509246137082973
3750.0,39,40,0.010470458762150971
3800.0,39,106,0.2001235956146741
3800.0,39,40,0.020231481292675556
3850.0,39,106,-0.17168919288996465
3850.0,39,40,-0.04352124942268308
3900.0,39,106,-0.21951136424791584
3900.0,39,40,-0.003940988014105878
3950.0,39,106,-0.15380693465974943
3950.0,39,40,0.054671739697935845
4000.0,39,106,0.20647327735179283
4000.0,39,40,0.01413062081090424
4050.0,39,106,-0.20261723430813625
4050.0,39,40,0.036463260076608286
4100.0,39,106,0.10964700982555751
4100.0,39,40,0.04829784475500134
4150.0,39,106,0.12235432946435741
4150.0,39,40,0.042340045049323226
4200.0,39,106,-0.14232277843247765
4200.0,39,40,-0.039884653975337456
4250.0,39,106,0.18089402841514945
4250.0,39,40,-0.01051467371906832
4300.0,39,106,0.12485631932245954
4300.0,39,40,0.0060493894992965855
4350.0,39,106,0.1575894933637983
4350.0,39,40,-0.04776619434354307
4400.0,39,106,0.23474828978029652
4400.0,39,40,0.007264960882446706
4450.0,39,106,-0.20705944039995106
4450.0,39,40,-0.023779980447140935
4500.0,39,106,-0.14053035404218256
4500.0,39,40,-0.0185507079106083
4550.0,39,106,0.15418209303658978
4550.0,39,40,0.001400434515270943
4600.0,39,106,0.12897678819034966
4600.0,39,40,0.005335695865173485
4650.0,39,106,-0.16348615757432616
4650.0,39,40,0.010670485653952016
4700.0,39,106,0.16592142575534582
4700.0,39,40,-0.025804310831813598
4750.0,39,106,0.20674334204713932
4750.0,39,40,0.052892153622682264
